Model,F1 Score,Exact Match,Hallucination Rate,Semantic Similarity,BLEU Score
Baseline,0.08377056551588902,0.01,0.78,0.5305064287781716,0.0266291070499949
DPO,0.10055087375941713,0.03,0.84,0.5181185123324394,0.057837755167646165
